[    0.000000] Linux version 5.19.0-50-generic (buildd@lcy02-amd64-030) (x86_64-linux-gnu-gcc (Ubuntu 11.3.0-1ubuntu1~22.04.1) 11.3.0, GNU ld (GNU Binutils for Ubuntu) 2.38) #50-Ubuntu SMP PREEMPT_DYNAMIC Mon Jul 10 18:24:29 UTC 2023 (Ubuntu 5.19.0-50.50-generic 5.19.17)
[    0.000000] Command line: BOOT_IMAGE=/boot/vmlinuz-5.19.0-50-generic root=UUID=c612be2b-648d-45be-a127-1a9cc23dac69 ro find_preseed=/preseed.cfg auto noprompt priority=critical locale=en_US quiet splash
[    0.000000] KERNEL supported cpus:
[    0.000000]   Intel GenuineIntel
[    0.000000]   AMD AuthenticAMD
[    0.000000]   Hygon HygonGenuine
[    0.000000]   Centaur CentaurHauls
[    0.000000]   zhaoxin   Shanghai  
[    0.000000] x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers'
[    0.000000] x86/fpu: Supporting XSAVE feature 0x002: 'SSE registers'
[    0.000000] x86/fpu: Supporting XSAVE feature 0x004: 'AVX registers'
[    0.000000] x86/fpu: Supporting XSAVE feature 0x200: 'Protection Keys User registers'
[    0.000000] x86/fpu: xstate_offset[2]:  576, xstate_sizes[2]:  256
[    0.000000] x86/fpu: xstate_offset[9]:  832, xstate_sizes[9]:    8
[    0.000000] x86/fpu: Enabled xstate features 0x207, context size is 840 bytes, using 'compacted' format.
[    0.000000] signal: max sigframe size: 3632
[    0.000000] BIOS-provided physical RAM map:
[    0.000000] BIOS-e820: [mem 0x0000000000000000-0x000000000009e7ff] usable
[    0.000000] BIOS-e820: [mem 0x000000000009e800-0x000000000009ffff] reserved
[    0.000000] BIOS-e820: [mem 0x00000000000dc000-0x00000000000fffff] reserved
[    0.000000] BIOS-e820: [mem 0x0000000000100000-0x00000000bfecffff] usable
[    0.000000] BIOS-e820: [mem 0x00000000bfed0000-0x00000000bfefefff] ACPI data
[    0.000000] BIOS-e820: [mem 0x00000000bfeff000-0x00000000bfefffff] ACPI NVS
[    0.000000] BIOS-e820: [mem 0x00000000bff00000-0x00000000bfffffff] usable
[    0.000000] BIOS-e820: [mem 0x00000000f0000000-0x00000000f7ffffff] reserved
[    0.000000] BIOS-e820: [mem 0x00000000fec00000-0x00000000fec0ffff] reserved
[    0.000000] BIOS-e820: [mem 0x00000000fee00000-0x00000000fee00fff] reserved
[    0.000000] BIOS-e820: [mem 0x00000000fffe0000-0x00000000ffffffff] reserved
[    0.000000] BIOS-e820: [mem 0x0000000100000000-0x000000023fffffff] usable
[    0.000000] NX (Execute Disable) protection: active
[    0.000000] SMBIOS 2.7 present.
[    0.000000] DMI: VMware, Inc. VMware Virtual Platform/440BX Desktop Reference Platform, BIOS 6.00 11/12/2020
[    0.000000] vmware: hypercall mode: 0x02
[    0.000000] Hypervisor detected: VMware
[    0.000000] vmware: TSC freq read from hypervisor : 3417.604 MHz
[    0.000000] vmware: Host bus clock speed read from hypervisor : 66000000 Hz
[    0.000000] vmware: using clock offset of 3753393254 ns
[    0.000009] tsc: Detected 3417.604 MHz processor
[    0.001029] e820: update [mem 0x00000000-0x00000fff] usable ==> reserved
[    0.001031] e820: remove [mem 0x000a0000-0x000fffff] usable
[    0.001034] last_pfn = 0x240000 max_arch_pfn = 0x400000000
[    0.001053] x86/PAT: Configuration [0-7]: WB  WC  UC- UC  WB  WP  UC- WT  
[    0.001061] total RAM covered: 261120M
[    0.001127]  gran_size: 64K 	chunk_size: 64K 	num_reg: 8  	lose cover RAM: 0G
[    0.001128]  gran_size: 64K 	chunk_size: 128K 	num_reg: 8  	lose cover RAM: 0G
[    0.001129]  gran_size: 64K 	chunk_size: 256K 	num_reg: 8  	lose cover RAM: 0G
[    0.001129]  gran_size: 64K 	chunk_size: 512K 	num_reg: 8  	lose cover RAM: 0G
[    0.001130]  gran_size: 64K 	chunk_size: 1M 	num_reg: 8  	lose cover RAM: 0G
[    0.001131]  gran_size: 64K 	chunk_size: 2M 	num_reg: 8  	lose cover RAM: 0G
[    0.001131]  gran_size: 64K 	chunk_size: 4M 	num_reg: 8  	lose cover RAM: 0G
[    0.001132]  gran_size: 64K 	chunk_size: 8M 	num_reg: 8  	lose cover RAM: 0G
[    0.001132]  gran_size: 64K 	chunk_size: 16M 	num_reg: 8  	lose cover RAM: 0G
[    0.001133]  gran_size: 64K 	chunk_size: 32M 	num_reg: 8  	lose cover RAM: 0G
[    0.001134]  gran_size: 64K 	chunk_size: 64M 	num_reg: 8  	lose cover RAM: 0G
[    0.001134]  gran_size: 64K 	chunk_size: 128M 	num_reg: 8  	lose cover RAM: 0G
[    0.001135]  gran_size: 64K 	chunk_size: 256M 	num_reg: 8  	lose cover RAM: 0G
[    0.001136]  gran_size: 64K 	chunk_size: 512M 	num_reg: 8  	lose cover RAM: 0G
[    0.001136]  gran_size: 64K 	chunk_size: 1G 	num_reg: 8  	lose cover RAM: 0G
[    0.001137]  gran_size: 64K 	chunk_size: 2G 	num_reg: 8  	lose cover RAM: 0G
[    0.001138]  gran_size: 128K 	chunk_size: 128K 	num_reg: 8  	lose cover RAM: 0G
[    0.001138]  gran_size: 128K 	chunk_size: 256K 	num_reg: 8  	lose cover RAM: 0G
[    0.001139]  gran_size: 128K 	chunk_size: 512K 	num_reg: 8  	lose cover RAM: 0G
[    0.001140]  gran_size: 128K 	chunk_size: 1M 	num_reg: 8  	lose cover RAM: 0G
[    0.001140]  gran_size: 128K 	chunk_size: 2M 	num_reg: 8  	lose cover RAM: 0G
[    0.001141]  gran_size: 128K 	chunk_size: 4M 	num_reg: 8  	lose cover RAM: 0G
[    0.001141]  gran_size: 128K 	chunk_size: 8M 	num_reg: 8  	lose cover RAM: 0G
[    0.001142]  gran_size: 128K 	chunk_size: 16M 	num_reg: 8  	lose cover RAM: 0G
[    0.001143]  gran_size: 128K 	chunk_size: 32M 	num_reg: 8  	lose cover RAM: 0G
[    0.001143]  gran_size: 128K 	chunk_size: 64M 	num_reg: 8  	lose cover RAM: 0G
[    0.001144]  gran_size: 128K 	chunk_size: 128M 	num_reg: 8  	lose cover RAM: 0G
[    0.001145]  gran_size: 128K 	chunk_size: 256M 	num_reg: 8  	lose cover RAM: 0G
[    0.001145]  gran_size: 128K 	chunk_size: 512M 	num_reg: 8  	lose cover RAM: 0G
[    0.001146]  gran_size: 128K 	chunk_size: 1G 	num_reg: 8  	lose cover RAM: 0G
[    0.001147]  gran_size: 128K 	chunk_size: 2G 	num_reg: 8  	lose cover RAM: 0G
[    0.001147]  gran_size: 256K 	chunk_size: 256K 	num_reg: 8  	lose cover RAM: 0G
[    0.001148]  gran_size: 256K 	chunk_size: 512K 	num_reg: 8  	lose cover RAM: 0G
[    0.001148]  gran_size: 256K 	chunk_size: 1M 	num_reg: 8  	lose cover RAM: 0G
[    0.001149]  gran_size: 256K 	chunk_size: 2M 	num_reg: 8  	lose cover RAM: 0G
[    0.001150]  gran_size: 256K 	chunk_size: 4M 	num_reg: 8  	lose cover RAM: 0G
